,genre,acousticness mean,danceability mean,duration_ms mean,energy mean,instrumentalness mean,key mean,liveness mean,loudness mean,mode mean,speechiness mean,tempo mean,time_signature mean,valence mean,popularity mean,acousticness median,danceability median,duration_ms median,energy median,instrumentalness median,key median,liveness median,loudness median,mode median,speechiness median,tempo median,time_signature median,valence median,popularity median,acousticness variance,danceability variance,duration_ms variance,energy variance,instrumentalness variance,key variance,liveness variance,loudness variance,mode variance,speechiness variance,tempo variance,time_signature variance,valence variance,popularity variance,acousticness range,danceability range,duration_ms range,energy range,instrumentalness range,key range,liveness range,loudness range,mode range,speechiness range,tempo range,time_signature range,valence range,popularity range
0,blues,0.5490310299065418,0.5611271028037388,275.69630654205616,0.46202373831775717,0.180149669233645,5.104672897196262,0.2267418691588787,-11.6734785046729,0.7532710280373832,0.06027271028037383,123.7087607476635,3.708411214953271,0.6159164485981308,14.153271028037382,0.597,0.569,238.893,0.457,0.0125,5,0.138,-11.277999999999999,1,0.0441,117.551,4,0.64,11,0.09346017725081185,0.02143751564983022,24179.42981358,0.04837898593356437,0.08794939321778908,11.329847036998155,0.04662067393657463,14.942955175098886,0.18620182715530817,0.0032237223624908126,1166.887822541903,0.4017081451923415,0.05261384804354369,154.18994714550738,0.992569,0.771,1972.7820000000002,0.9839,0.983,11,0.9446,24.811,1,0.6198,160.007,4,0.9313000000000001,72
1,country,0.1388135758754865,0.5646595330739302,213.4380719844356,0.7686459143968873,0.0011716145136186767,5.243190661478599,0.18069610894941626,-5.2807315175097305,0.9007782101167315,0.04240856031128401,129.12893579766543,3.9513618677042803,0.5856622568093388,45.31322957198444,0.07135,0.5680000000000001,209.233,0.8009999999999999,0.0,6,0.1245,-5.175,1,0.03745,129.99200000000002,4,0.5854999999999999,53,0.02832660551431486,0.00844075909997649,985.4239724957829,0.020832061513489715,0.00015500282609835382,11.985577324201131,0.018106953474108966,2.8277861305056824,0.08955105012856397,0.00034879072579849994,915.7112231985993,0.0853490188939708,0.041201436662343285,596.0751852610347,0.951821,0.604,199.20000000000002,0.7809999999999999,0.24100000000000002,11,0.9461999999999999,10.937,1,0.20829999999999999,134.92000000000002,4,0.9260999999999999,83
2,electric,0.024966627562688075,0.6644433299899705,374.04556770310984,0.7859468405215648,0.6059660123671005,5.41925777331996,0.2315540621865592,-7.316385155466402,0.46238716148445336,0.07730902708124378,127.4645697091274,3.987963891675025,0.2808793380140424,32.8716148445336,0.00286,0.6709999999999999,381.732,0.813,0.774,6,0.13,-7.215,0,0.0555,127.99600000000001,4,0.245,33,0.006252490744134376,0.009127933783277553,5521.92579649064,0.016822702994525738,0.10903637659619676,11.926456075052437,0.04548335262655432,3.2681360221890556,0.2488348579876174,0.004395270781883806,12.146470130928929,0.011903179417771385,0.035462524713215926,0.3529786145585464,0.9189929,0.697,426.15200000000004,0.7230000000000001,0.97,11,0.9558000000000001,16.139,1,0.5744,80.084,1,0.941,7
3,jazz,0.7194765838509315,0.5565445134575567,220.9798923395445,0.33874016563146997,0.1860436141614907,4.931677018633541,0.18499026915113886,-12.43856728778468,0.6625258799171843,0.06250579710144928,116.66110559006212,3.8737060041407867,0.5512863354037272,24.62111801242236,0.773,0.561,194.88,0.324,0.000386,5,0.121,-11.99,1,0.0447,113.51700000000001,4,0.5479999999999999,24,0.04931522207813974,0.018442148948051178,10217.32090319171,0.029465472034827276,0.10843546234449868,12.05133888301847,0.02733199482212659,19.295946208637226,0.22404920835373673,0.004102424032713928,912.0686248124789,0.19770968102196668,0.05582171172160515,377.69225019973703,0.98922,0.764,754.3729999999999,0.9267000000000001,0.968,11,0.9534000000000001,36.85300000000001,1,0.9016,155.607,4,0.9414,76
4,metal,0.0026343788119132343,0.3686130139203631,265.14846455163485,0.9382143500485607,0.33624137388151504,5.335059889932017,0.22597843962447373,-5.000909032049206,0.6474587245063127,0.11314551634833267,125.46228132081602,3.865004855940434,0.2519477177079957,23.01456782130139,6.790000000000001e-05,0.365,251.52,0.963,0.14,6,0.185,-4.725,1,0.0999,120.023,4,0.222,24,0.0006504821786511819,0.01624305266089394,7496.069210480685,0.005991128649625047,0.13119114653563654,12.872478307616701,0.024997234664533366,3.9352161876418323,0.22832984164098946,0.003678736068782852,840.0468637313895,0.2100735184349615,0.026794485468397012,270.92886802073923,0.851,0.7148999999999999,1018.026,0.9989797000000001,0.985,11,0.9666,16.272,1,0.4862,164.96500000000003,4,0.8978999999999999,74
5,pop,0.189255529739777,0.6392732342007426,214.539650557621,0.653087360594796,0.0021662368215613383,5.377323420074349,0.16729219330855027,-5.844124535315989,0.5576208178438662,0.0897408921933085,118.58106319702613,3.9721189591078065,0.4679812267657992,64.77323420074349,0.09390000000000001,0.653,211.9735,0.6765,0.0,6,0.11800000000000001,-5.5075,1,0.05995,114.046,4,0.46399999999999997,69,0.05160126160102424,0.017795465241289547,801.8631977659314,0.025353152502890226,0.0002778894766682422,13.12924272946909,0.01564452113074841,4.339283766584977,0.24713920790845478,0.005879358138494878,725.7928442753292,0.060673713941558995,0.04183286804541958,338.94661931562507,0.9588200000000001,0.711,211.22899999999998,0.846,0.237,11,0.8975000000000001,15.442,1,0.4848,149.45999999999998,4,0.9260999999999999,98
6,rap,0.14545363414817614,0.7177653253102664,229.2834509213993,0.6494629183903728,0.004948410361037981,5.207220759684092,0.2096258367807447,-6.538918766453569,0.5697630688228658,0.19735502068446772,122.79967920270808,3.9962391876645356,0.44576521248589673,44.906355772846936,0.0735,0.737,224.666,0.657,0.0,5,0.141,-6.301,1,0.18,127.023,4,0.428,49,0.031445973523626505,0.01797979968509919,2653.372129638961,0.022924761250471496,0.002392495256140353,14.033416614527518,0.02662954296275886,5.75051732447462,0.24522533887635747,0.017253909917409282,769.624667568609,0.06394371402432111,0.04721028220923824,546.5830258041514,0.9469661,0.9740000000000001,636.0799999999999,0.9621,0.9109999999999999,11,0.9497,22.763999999999996,1,0.922,209.90900000000002,5,0.968,99
7,rock,0.08921785773592719,0.5002851821192055,239.41842135761593,0.8029756292632461,0.045688914784768254,5.198675496688741,0.22848166390728478,-6.192807947019855,0.6341059602649006,0.07103145695364223,128.3340885761589,3.9581953642384105,0.513313741721854,46.97226821192053,0.0067399999999999995,0.5,226.40699999999998,0.861,6.255e-05,5,0.152,-5.28,1,0.05275,127.83,4,0.505,53,0.030878513656642945,0.019417678057772173,4617.694804792155,0.02901138880897328,0.021932921358533634,12.638772572086701,0.0398891507485346,9.852814761444055,0.23211166413009218,0.0032781290059095405,855.8065563904972,0.06326200074040567,0.04839723901605578,516.3681747288628,0.97599848,0.9670000000000001,921.253,0.9959797,0.978,11,0.99,36.211999999999996,1,0.904,216.554,5,0.99,84
